MVA
n;e.d;randoms;;total;;avg_size;;avg_weight;;height;;max_size;;min_size;;num;;num_edges;;sum_size;;sum_weight;;width;
;;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std
10000;0,99;31083,9;178,58732691132744;0,1848308086395264;0,01745886199850096;2015,3;1651,5009368584822;0;0,0;1;0,0;9946,4;5,081557066709201;13,9;26,168046672739383;7,7;4,321779468896785;49461249,3;49869,55027324345;10003,4;2,9514591494904874;3,4;2,9514591494904874;6,7;4,321779468896785
50000;0,1;151641,9;1288,2436320648185;1,3759766817092896;0,33324819317403825;12,5;3,2744804507314167;0;0,0;6,9;0,9944289260117531;14339,8;1486,9284373424896;1;0,0;4302,5;1009,0592153089926;124997500;0,0;53052,9;717,0594969890728;3052,9;717,0594969890728;1422,7;466,98371372981404
SHET
n;k/n.;ncc;;total;;avg_size;;avg_weight;;height;;max_size;;min_size;;num;;num_edges;;sum_size;;sum_weight;;width;
;;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std
50;0,02;32,3;1,946506842754191;0,0010396718978883;0,00032514038013198857;1;0,0;0;0,0;0;0,0;3,7;0,6749485577105528;1;0,0;32,3;1,946506842754191;0;0,0;50;0,0;0;0,0;0;0,0
50;0,02;31,9;2,183269719175042;0,0013136863708497;4,6107136911594344e-05;1;0,0;0;0,0;0;0,0;3,5;0,8498365855987975;1;0,0;31,9;2,183269719175042;0;0,0;50;0,0;0;0,0;0;0,0
50;0,1;1,7;0,6749485577105528;0,0035081386566163;0,0005664340174870219;10,6;3,062315754094894;5,9;2,4698178070456938;3,6;1,3498971154211057;21,3;6,03784361801095;3,5;2,6770630673681683;8,9;3,1073389830457114;7,2;3,0840089349921005;89,7;12,320263344948795;39,7;12,320263344948795;2,5;0,5270462766947299
50;0,1;1,6;1,07496769977314;0,004727292060852;0,0006537309335304473;10,9;3,0349812373573433;5,5;2,068278940998476;3,4;0,9660917830792959;17,3;3,8600518131237567;5,5;3,2058973436118907;8,2;1,7511900715418263;6,6;1,7126976771553504;87,9;9,243015380996255;37,9;9,243015380996255;2,6;0,699205898780101
50;0,2;1,1;0,31622776601683794;0,0064749479293822;0,0009234422549050247;19,5;5,233439489369194;14,9;4,909175083453431;3,4;1,577621275493231;29,8;6,196773353931867;10,6;6,535373831014651;7,3;2,359378449224852;6,2;2,440400695696417;138,2;26,922935286562726;88,2;26,922935286562726;2,4;0,5163977794943222
